itemkey,itemvalue,itemlink
USB-C,Universal Serial Bus Type C,https://en.wikipedia.org/wiki/USB-C
USB OTG,Universal Serial Bus On-The-Go,https://en.wikipedia.org/wiki/USB_On-The-Go
UTM,Unified Threat Management,https://en.wikipedia.org/wiki/Unified_threat_management
UTP,Unshielded Twisted Pair,https://en.wikipedia.org/wiki/Twisted_pair#Unshielded_twisted_pair
UWP,Universal Windows Platform,https://en.wikipedia.org/wiki/Universal_Windows_Platform_apps
UX,User Experience,https://en.wikipedia.org/wiki/User_experience
VA,Vertical Alignment (LCD),https://en.wikipedia.org/wiki/Liquid-crystal_display#Vertical_alignment_(VA)
VDI,Virtual Desktop Infrastructure,https://en.wikipedia.org/wiki/Desktop_virtualization
VGA,Video Graphics Array,https://en.wikipedia.org/wiki/Video_Graphics_Array
VLAN,Virtual LAN,https://en.wikipedia.org/wiki/VLAN
VM,Virtual Machine,https://en.wikipedia.org/wiki/Virtual_machine
VNC,Virtual Network Computer,https://en.wikipedia.org/wiki/Virtual_Network_Computing
VoIP,Voice over Internet Protocol,https://en.wikipedia.org/wiki/Voice_over_IP
VoLTE,Voice over LTE,https://en.wikipedia.org/wiki/Voice_over_LTE
VPN,Virtual Private Network,https://en.wikipedia.org/wiki/Virtual_private_network
VRAM,Video Random-Access Memory,https://en.wikipedia.org/wiki/Video_random-access_memory
WAF,Web Application Firewall,https://en.wikipedia.org/wiki/Web_application_firewall
WAN,Wide Area Network,https://en.wikipedia.org/wiki/Wide_area_network
WAP,Wireless Access Point,https://en.wikipedia.org/wiki/Wireless_access_point
WDDM,Windows Display Driver Model,https://en.wikipedia.org/wiki/Windows_Display_Driver_Model
WEP,"Wired Equivalent Privacy (flawed, do not use)",https://en.wikipedia.org/wiki/Wired_Equivalent_Privacy
WiFi,Wireless Fidelity (802.11),https://en.wikipedia.org/wiki/Wi-Fi
WinPE,Windows Preinstallation Environment,https://en.wikipedia.org/wiki/Windows_Preinstallation_Environment
WISP,Wireless Internet Service Provider,https://en.wikipedia.org/wiki/Wireless_Internet_service_provider
WLAN,Wireless LAN,https://en.wikipedia.org/wiki/Wireless_LAN
WMN,Wireless Mesh Network,https://en.wikipedia.org/wiki/Wireless_mesh_network
WPA,Wi-Fi Protected Access,https://en.wikipedia.org/wiki/Wi-Fi_Protected_Access#WPA
WPA2,Wi-Fi Protected Access 2,https://en.wikipedia.org/wiki/Wi-Fi_Protected_Access#WPA2
WPS,Wi-Fi Protected Setup,https://en.wikipedia.org/wiki/Wi-Fi_Protected_Setup
WWAN,Wireless Wide Area Network,https://en.wikipedia.org/wiki/Wireless_WAN
XML,Extensible Markup Language,https://en.wikipedia.org/wiki/XML
XMP,Extreme Memory Profile (Intel),https://en.wikipedia.org/wiki/Serial_presence_detect#Intel_Extreme_Memory_Profile_(XMP)
XSS,Cross-Site Scripting ,https://en.wikipedia.org/wiki/Cross-site_scripting
YUM,"Yellowdog Updater, Modified (Linux)",https://en.wikipedia.org/wiki/Yum_(software)
